Date,Time,Unit,Value
6/16/22,5:53:55 PM,C,27.5
6/16/22,6:03:55 PM,C,27.5
6/16/22,6:13:55 PM,C,27.5
6/16/22,6:23:55 PM,C,27.5
6/16/22,6:33:55 PM,C,27.5
6/16/22,6:43:55 PM,C,27
6/16/22,6:53:55 PM,C,27
6/16/22,7:03:55 PM,C,27
6/16/22,7:13:55 PM,C,26.5
6/16/22,7:23:55 PM,C,26
6/16/22,7:33:55 PM,C,25.5
6/16/22,7:43:55 PM,C,25
6/16/22,7:53:55 PM,C,24.5
6/16/22,8:03:55 PM,C,23.5
6/16/22,8:13:55 PM,C,23
6/16/22,8:23:55 PM,C,22
6/16/22,8:33:55 PM,C,21
6/16/22,8:43:55 PM,C,19.5
6/16/22,8:53:55 PM,C,18.5
6/16/22,9:03:55 PM,C,18
6/16/22,9:13:55 PM,C,17
6/16/22,9:23:55 PM,C,16
6/16/22,9:33:55 PM,C,15.5
6/16/22,9:43:55 PM,C,14.5
6/16/22,9:53:55 PM,C,14.5
6/16/22,10:03:55 PM,C,14
6/16/22,10:13:55 PM,C,14
6/16/22,10:23:55 PM,C,13.5
6/16/22,10:33:55 PM,C,13
6/16/22,10:43:55 PM,C,12.5
6/16/22,10:53:55 PM,C,12
6/16/22,11:03:55 PM,C,12
6/16/22,11:13:55 PM,C,11.5
6/16/22,11:23:55 PM,C,11
6/16/22,11:33:55 PM,C,11
6/16/22,11:43:55 PM,C,10.5
6/16/22,11:53:55 PM,C,10
6/17/22,12:03:55 AM,C,10
6/17/22,12:13:55 AM,C,9.5
6/17/22,12:23:55 AM,C,9.5
6/17/22,12:33:55 AM,C,9
6/17/22,12:43:55 AM,C,9
6/17/22,12:53:55 AM,C,9
6/17/22,1:03:55 AM,C,9
6/17/22,1:13:55 AM,C,9
6/17/22,1:23:55 AM,C,9
6/17/22,1:33:55 AM,C,8.5
6/17/22,1:43:55 AM,C,8.5
6/17/22,1:53:55 AM,C,8.5
6/17/22,2:03:55 AM,C,8.5
6/17/22,2:13:55 AM,C,8
6/17/22,2:23:55 AM,C,8
6/17/22,2:33:55 AM,C,8
6/17/22,2:43:55 AM,C,8
6/17/22,2:53:55 AM,C,8
6/17/22,3:03:55 AM,C,7.5
6/17/22,3:13:55 AM,C,7.5
6/17/22,3:23:55 AM,C,7
6/17/22,3:33:55 AM,C,7
6/17/22,3:43:55 AM,C,7
6/17/22,3:53:55 AM,C,7
6/17/22,4:03:55 AM,C,6.5
6/17/22,4:13:55 AM,C,6.5
6/17/22,4:23:55 AM,C,6.5
6/17/22,4:33:55 AM,C,6.5
6/17/22,4:43:55 AM,C,6.5
6/17/22,4:53:55 AM,C,6.5
6/17/22,5:03:55 AM,C,6.5
6/17/22,5:13:55 AM,C,6.5
6/17/22,5:23:55 AM,C,6
6/17/22,5:33:55 AM,C,6
6/17/22,5:43:55 AM,C,6
6/17/22,5:53:55 AM,C,6
6/17/22,6:03:55 AM,C,6
6/17/22,6:13:55 AM,C,6.5
6/17/22,6:23:55 AM,C,7
6/17/22,6:33:55 AM,C,7.5
6/17/22,6:43:55 AM,C,8
6/17/22,6:53:55 AM,C,8
6/17/22,7:03:55 AM,C,8.5
6/17/22,7:13:55 AM,C,8.5
6/17/22,7:23:55 AM,C,9
6/17/22,7:33:55 AM,C,9
6/17/22,7:43:55 AM,C,9
6/17/22,7:53:55 AM,C,9
6/17/22,8:03:55 AM,C,9.5
6/17/22,8:13:55 AM,C,10
6/17/22,8:23:55 AM,C,10.5
6/17/22,8:33:55 AM,C,11
6/17/22,8:43:55 AM,C,11.5
6/17/22,8:53:55 AM,C,12
6/17/22,9:03:55 AM,C,12.5
6/17/22,9:13:55 AM,C,12.5
6/17/22,9:23:55 AM,C,12.5
6/17/22,9:33:55 AM,C,13
6/17/22,9:43:55 AM,C,13.5
6/17/22,9:53:55 AM,C,14
6/17/22,10:03:55 AM,C,15
6/17/22,10:13:55 AM,C,16
6/17/22,10:23:55 AM,C,17.5
6/17/22,10:33:55 AM,C,18.5
6/17/22,10:43:55 AM,C,20
6/17/22,10:53:55 AM,C,22
6/17/22,11:03:55 AM,C,23.5
6/17/22,11:13:55 AM,C,25
6/17/22,11:23:55 AM,C,26
6/17/22,11:33:55 AM,C,26.5
6/17/22,11:43:55 AM,C,27
6/17/22,11:53:55 AM,C,27.5
6/17/22,12:03:55 PM,C,28
6/17/22,12:13:55 PM,C,28.5
6/17/22,12:23:55 PM,C,28.5
6/17/22,12:33:55 PM,C,28.5
6/17/22,12:43:55 PM,C,27.5
6/17/22,12:53:55 PM,C,28
6/17/22,1:03:55 PM,C,29
6/17/22,1:13:55 PM,C,29
6/17/22,1:23:55 PM,C,29
6/17/22,1:33:55 PM,C,29
6/17/22,1:43:55 PM,C,29
6/17/22,1:53:55 PM,C,29
6/17/22,2:03:55 PM,C,29
6/17/22,2:13:55 PM,C,28.5
6/17/22,2:23:55 PM,C,28.5
6/17/22,2:33:55 PM,C,28.5
6/17/22,2:43:55 PM,C,29
6/17/22,2:53:55 PM,C,28.5
6/17/22,3:03:55 PM,C,28.5
6/17/22,3:13:55 PM,C,28.5
6/17/22,3:23:55 PM,C,29
6/17/22,3:33:55 PM,C,29
6/17/22,3:43:55 PM,C,29
6/17/22,3:53:55 PM,C,29
6/17/22,4:03:55 PM,C,29
6/17/22,4:13:55 PM,C,29
6/17/22,4:23:55 PM,C,29
6/17/22,4:33:55 PM,C,29
6/17/22,4:43:55 PM,C,28.5
6/17/22,4:53:55 PM,C,28.5
6/17/22,5:03:55 PM,C,28
6/17/22,5:13:55 PM,C,28
6/17/22,5:23:55 PM,C,28
6/17/22,5:33:55 PM,C,28
6/17/22,5:43:55 PM,C,27.5
6/17/22,5:53:55 PM,C,27
6/17/22,6:03:55 PM,C,27
6/17/22,6:13:55 PM,C,27
6/17/22,6:23:55 PM,C,27
6/17/22,6:33:55 PM,C,27
6/17/22,6:43:55 PM,C,27
6/17/22,6:53:55 PM,C,27
6/17/22,7:03:55 PM,C,26.5
6/17/22,7:13:55 PM,C,26
6/17/22,7:23:55 PM,C,26
6/17/22,7:33:55 PM,C,25.5
6/17/22,7:43:55 PM,C,25
6/17/22,7:53:55 PM,C,24.5
6/17/22,8:03:55 PM,C,23.5
6/17/22,8:13:55 PM,C,22.5
6/17/22,8:23:55 PM,C,21
6/17/22,8:33:55 PM,C,20
6/17/22,8:43:55 PM,C,19.5
6/17/22,8:53:55 PM,C,18.5
6/17/22,9:03:55 PM,C,18
6/17/22,9:13:55 PM,C,17
6/17/22,9:23:55 PM,C,16.5
6/17/22,9:33:55 PM,C,16
6/17/22,9:43:55 PM,C,15.5
6/17/22,9:53:55 PM,C,15.5
6/17/22,10:03:55 PM,C,15
6/17/22,10:13:55 PM,C,15
6/17/22,10:23:55 PM,C,14.5
6/17/22,10:33:55 PM,C,14
6/17/22,10:43:55 PM,C,13.5
6/17/22,10:53:55 PM,C,13.5
6/17/22,11:03:55 PM,C,13
6/17/22,11:13:55 PM,C,12.5
6/17/22,11:23:55 PM,C,12
6/17/22,11:33:55 PM,C,12
6/17/22,11:43:55 PM,C,11.5
6/17/22,11:53:55 PM,C,11.5
6/18/22,12:03:55 AM,C,11.5
6/18/22,12:13:55 AM,C,11
6/18/22,12:23:55 AM,C,11
6/18/22,12:33:55 AM,C,11
6/18/22,12:43:55 AM,C,11
6/18/22,12:53:55 AM,C,10.5
6/18/22,1:03:55 AM,C,10.5
6/18/22,1:13:55 AM,C,10
6/18/22,1:23:55 AM,C,10
6/18/22,1:33:55 AM,C,10
6/18/22,1:43:55 AM,C,10
6/18/22,1:53:55 AM,C,9.5
6/18/22,2:03:55 AM,C,9
6/18/22,2:13:55 AM,C,9
6/18/22,2:23:55 AM,C,9
6/18/22,2:33:55 AM,C,9
6/18/22,2:43:55 AM,C,8.5
6/18/22,2:53:55 AM,C,8.5
6/18/22,3:03:55 AM,C,8
6/18/22,3:13:55 AM,C,8
6/18/22,3:23:55 AM,C,8
6/18/22,3:33:55 AM,C,8
6/18/22,3:43:55 AM,C,8
6/18/22,3:53:55 AM,C,7.5
6/18/22,4:03:55 AM,C,7.5
6/18/22,4:13:55 AM,C,7.5
6/18/22,4:23:55 AM,C,7.5
6/18/22,4:33:55 AM,C,7.5
6/18/22,4:43:55 AM,C,7.5
6/18/22,4:53:55 AM,C,7.5
6/18/22,5:03:55 AM,C,7
6/18/22,5:13:55 AM,C,7
6/18/22,5:23:55 AM,C,7
6/18/22,5:33:55 AM,C,7
6/18/22,5:43:55 AM,C,6.5
6/18/22,5:53:55 AM,C,6.5
6/18/22,6:03:55 AM,C,6
6/18/22,6:13:55 AM,C,6
6/18/22,6:23:55 AM,C,6
6/18/22,6:33:55 AM,C,6
6/18/22,6:43:55 AM,C,6
6/18/22,6:53:55 AM,C,6
6/18/22,7:03:55 AM,C,6
6/18/22,7:13:55 AM,C,6
6/18/22,7:23:55 AM,C,6.5
6/18/22,7:33:55 AM,C,6.5
6/18/22,7:43:55 AM,C,6.5
6/18/22,7:53:55 AM,C,6.5
6/18/22,8:03:55 AM,C,7.5
6/18/22,8:13:55 AM,C,8
6/18/22,8:23:55 AM,C,8.5
6/18/22,8:33:55 AM,C,10
6/18/22,8:43:55 AM,C,11
6/18/22,8:53:55 AM,C,12
6/18/22,9:03:55 AM,C,13.5
6/18/22,9:13:55 AM,C,15.5
6/18/22,9:23:55 AM,C,17.5
6/18/22,9:33:55 AM,C,18.5
6/18/22,9:43:55 AM,C,19
6/18/22,9:53:55 AM,C,19.5
6/18/22,10:03:55 AM,C,20
6/18/22,10:13:55 AM,C,20
6/18/22,10:23:55 AM,C,20.5
6/18/22,10:33:55 AM,C,20.5
6/18/22,10:43:55 AM,C,21
6/18/22,10:53:55 AM,C,21.5
6/18/22,11:03:55 AM,C,22
6/18/22,11:13:55 AM,C,22
6/18/22,11:23:55 AM,C,22.5
6/18/22,11:33:55 AM,C,23.5
6/18/22,11:43:55 AM,C,24.5
6/18/22,11:53:55 AM,C,25
6/18/22,12:03:55 PM,C,25.5
6/18/22,12:13:55 PM,C,25.5
6/18/22,12:23:55 PM,C,25.5
6/18/22,12:33:55 PM,C,26
6/18/22,12:43:55 PM,C,25.5
6/18/22,12:53:55 PM,C,25.5
6/18/22,1:03:55 PM,C,25.5
6/18/22,1:13:55 PM,C,25.5
