Date,Time,Unit,Value
6/18/22,9:15:37 AM,C,15
6/18/22,9:25:37 AM,C,17
6/18/22,9:35:37 AM,C,18
6/18/22,9:45:37 AM,C,19
6/18/22,9:55:37 AM,C,19.5
6/18/22,10:05:37 AM,C,19.5
6/18/22,10:15:37 AM,C,20
6/18/22,10:25:37 AM,C,20
6/18/22,10:35:37 AM,C,20.5
6/18/22,10:45:37 AM,C,20.5
6/18/22,10:55:37 AM,C,21
6/18/22,11:05:37 AM,C,21.5
6/18/22,11:15:37 AM,C,21.5
6/18/22,11:25:37 AM,C,22
6/18/22,11:35:37 AM,C,22.5
6/18/22,11:45:37 AM,C,23.5
6/18/22,11:55:37 AM,C,24
6/18/22,12:05:37 PM,C,24
6/18/22,12:15:37 PM,C,24
6/18/22,12:25:37 PM,C,24.5
